,Date,Fragment.ID,Light_Dark,Fragment.ID.Full,Temp.Cat,Volume,pH.mv,Temp.probe,Salinity..In.situ,Salinity.TA,TA,Start.TA,Start.Salinity,Start.mv,Start.Temp,Species,Genotype,Start.time,Stop.Time,pH,pH.start,yearday,Surf.Area.cm2,Volume.av,ResTime,deltaTA,deltaTA.corr,NEC,deltapH,PR
23,20171001,OF1-1,Dark,OF1-1-Dark,24,595,-56.5,24.05,37.2,38.06,2322.83,2330.39,37.96,-59.5,23.33,OF,1,5/23/2018 13:38,5/23/2018 14:49,8.30775977,8.400531526,20171001,17.848,592.5,1.183333333,7.56,2.44,0.035012826,0.092771756,Dark Calcification
33,20171001,OF1-1,Light,OF1-1-Light,24,590,-61.9,24.26,37.3,37.96,2316.01,2335.986667,37.95,-58.9,23.55,OF,1,5/23/2018 11:57,5/23/2018 12:57,8.387113593,8.377518581,20171001,17.848,592.5,1,19.976667,11.78,0.200027509,-0.009595012,Light Calcification
331,20171001,OF1-1,Net,OF1-1-Light,24,590,-61.9,24.26,37.3,37.96,2316.01,2335.986667,37.95,-58.9,23.55,OF,1,5/23/2018 11:57,5/23/2018 12:57,8.387113593,8.377518581,20171001,17.848,592.5,1,19.976667,11.78,0.235040335,-0.009595012,Net Calcification
123,20171004,OF1-10,Dark,OF1-10-Dark,32,565,-51.2,27.99,37.3,37.98,2318,2321.653333,37.75,-56.3,29.17,OF,1,5/23/2018 16:56,5/23/2018 17:57,7.993491914,8.012266963,20171004,27.659,567.5,1.016666667,3.653333,4.3,0.044387931,0.018775049,Dark Calcification
133,20171004,OF1-10,Light,OF1-10-Light,34,570,-60.7,28.45,37.3,37.73,2300.3,2323.915,37.74,-56.7,28.6,OF,1,5/23/2018 15:41,5/23/2018 16:43,8.12636232,8.051053213,20171004,27.659,567.5,1.033333333,23.615,34.835,0.353793953,-0.075309106,Light Calcification
1331,20171004,OF1-10,Net,OF1-10-Light,29,570,-60.7,28.45,37.3,37.73,2300.3,2323.915,37.74,-56.7,28.6,OF,1,5/23/2018 15:41,5/23/2018 16:43,8.12636232,8.051053213,20171004,27.659,567.5,1.033333333,23.615,34.835,0.398181884,-0.075309106,Net Calcification
143,20171020,OF1-11,Dark,OF1-11-Dark,36,550,-48.8,32.42,37,38.34,2528.687006,2456.385579,38.21,-51.3,36.25,OF,1,5/23/2018 12:28,5/23/2018 13:34,7.707398885,7.540094423,20171020,31.797,545,1.1,-72.301427,-47.992456,-0.382504266,-0.167304463,Dark Calcification
153,20171020,OF1-11,Light,OF1-11-Light,36,540,-46.9,33.76,37,38.24,2443.742434,2448.035603,38.16,-52,36.2,OF,1,5/23/2018 11:10,5/23/2018 12:11,7.602948631,7.554194581,20171020,31.797,545,1.016666667,4.293169,18.7007835,0.16126392,-0.04875405,Light Calcification
1531,20171020,OF1-11,Net,OF1-11-Light,36,540,-46.9,33.76,37,38.24,2443.742434,2448.035603,38.16,-52,36.2,OF,1,5/23/2018 11:10,5/23/2018 12:11,7.602948631,7.554194581,20171020,31.797,545,1.016666667,4.293169,18.7007835,-0.221240347,-0.04875405,Net Calcification
3,20171001,OF1-2,Dark,OF1-2-Dark,26,560,-56.7,25.64,37.3,38,2336.82,2336.783333,38.05,-58.3,23.53,OF,1,5/23/2018 17:24,5/23/2018 18:32,8.219493848,8.368490496,20171001,19.396,562.5,1.133333333,-0.036667,-2.71,-0.035470525,0.148996648,Dark Calcification
13,20171001,OF1-2,Light,OF1-2-Light,26,565,-59,25.84,37.3,37.79,2314.64,2323.56,37.835,-59.6,25.4,OF,1,5/23/2018 15:50,5/23/2018 16:51,8.24679239,8.28222941,20171001,19.396,562.5,1.016666667,8.92,13.1,0.191138732,0.03543702,Light Calcification
1310,20171001,OF1-2,Net,OF1-2-Light,26,565,-59,25.84,37.3,37.79,2314.64,2323.56,37.835,-59.6,25.4,OF,1,5/23/2018 15:50,5/23/2018 16:51,8.24679239,8.28222941,20171001,19.396,562.5,1.016666667,8.92,13.1,0.155668207,0.03543702,Net Calcification
43,20171003,OF1-6,Dark,OF1-6-Dark,31,570,-50.9,29.57,37.3,37.36,2324.98,2327.36,37.37,-56.2,30.72,OF,1,5/23/2018 11:32,5/23/2018 12:32,7.899896312,7.92380815,20171003,33.454,567.5,1,2.38,10.19,0.088417379,0.023911838,Dark Calcification
53,20171003,OF1-6,Light,OF1-6-Light,31,565,-61,30.5,37.3,37.21,2292.15,2319.625,37.25,-56.2,30.5,OF,1,5/23/2018 10:23,5/23/2018 11:24,8.015749265,7.936082571,20171003,33.454,567.5,1.016666667,27.475,38.125,0.325382895,-0.079666694,Light Calcification
531,20171003,OF1-6,Net,OF1-6-Light,31,565,-61,30.5,37.3,37.21,2292.15,2319.625,37.25,-56.2,30.5,OF,1,5/23/2018 10:23,5/23/2018 11:24,8.015749265,7.936082571,20171003,33.454,567.5,1.016666667,27.475,38.125,0.413800274,-0.079666694,Net Calcification
