,Date,Fragment.ID,Light_Dark,Fragment.ID.Full,Temp.Cat,Volume,pH.mv,Temp.probe,Salinity..In.situ,Salinity.TA,TA,Start.TA,Start.Salinity,Start.mv,Start.Temp,Species,Genotype,Start.time,Stop.Time,pH,pH.start,yearday,Surf.Area.cm2,Volume.av,ResTime,deltaTA,deltaTA.corr,NEC,deltapH,PR
63,20171003,OF1-7,Dark,OF1-7-Dark,27,550,-55.9,26.6,37.06,37.71,2319.41,2317.663333,37.77,-58.3,26.93,OF,1,5/23/2018 14:57,5/23/2018 15:58,8.151105951,8.172612194,20171003,21.925,550,1.016666667,-1.746667,-6.14,-0.077492293,0.021506243,Dark Calcification
73,20171003,OF1-7,Light,OF1-7-Light,27,550,-59,26.97,37.06,37.7,2267,2324.67,37.61,-58.7,26.93,OF,1,5/23/2018 13:35,5/23/2018 14:36,8.182085001,8.179330067,20171003,21.925,550,1.016666667,57.67,53.69,0.677615833,-0.002754933,Light Calcification
731,20171003,OF1-7,Net,OF1-7-Light,27,550,-59,26.97,37.06,37.7,2267,2324.67,37.61,-58.7,26.93,OF,1,5/23/2018 13:35,5/23/2018 14:36,8.182085001,8.179330067,20171003,21.925,550,1.016666667,57.67,53.69,0.60012354,-0.002754933,Net Calcification
83,20171004,OF1-8,Dark,OF1-8-Dark,32,580,-51.3,32.14,37.4,38.15,2334.478291,2333.632046,38.18,-56.4,33.4,OF,1,5/23/2018 11:00,5/23/2018 12:01,7.764040328,7.778722935,20171004,22.74,575,1.016666667,-0.846245,6.888765,0.087636658,0.014682606,Dark Calcification
93,20171004,OF1-8,Light,OF1-8-Light,32,570,-56.6,32.75,37.4,37.93,2317.136635,2336.14955,37.86,-55.1,33.76,OF,1,5/23/2018 9:37,5/23/2018 10:39,7.817818014,7.737600274,20171004,22.74,575,1.033333333,19.012915,15.432969,0.193166614,-0.08021774,Light Calcification
931,20171004,OF1-8,Net,OF1-8-Light,32,570,-56.6,32.75,37.4,37.93,2317.136635,2336.14955,37.86,-55.1,33.76,OF,1,5/23/2018 9:37,5/23/2018 10:39,7.817818014,7.737600274,20171004,22.74,575,1.033333333,19.012915,15.432969,0.280803272,-0.08021774,Net Calcification
103,20171004,OF1-9,Dark,OF1-9-Dark,34,550,-50.8,29.95,37.51,37.84,2332.593306,2328.356163,37.86,-55.4,31.55,OF,1,5/23/2018 14:18,5/23/2018 15:18,7.877044957,7.864398571,20171004,34.352,552.5,1,-4.237143,-6.4554755,-0.053107289,-0.012646386,Dark Calcification
113,20171004,OF1-9,Light,OF1-9-Light,34,555,-60.9,29.9,37.51,37.93,2303.230743,2343.298901,37.98,-55.5,31.61,OF,1,5/23/2018 13:01,5/23/2018 14:04,8.047794048,7.862724663,20171004,34.352,552.5,1.05,40.068158,31.7366605,0.248655357,-0.185069385,Light Calcification
1131,20171004,OF1-9,Net,OF1-9-Light,34,555,-60.9,29.9,37.51,37.93,2303.230743,2343.298901,37.98,-55.5,31.61,OF,1,5/23/2018 13:01,5/23/2018 14:04,8.047794048,7.862724663,20171004,34.352,552.5,1.05,40.068158,31.7366605,0.195548068,-0.185069385,Net Calcification
24,20171001,OF2-1,Dark,OF2-1-Dark,24,565,-56.6,23.97,37.2,37.62,2327.33,2330.39,37.96,-59.5,23.33,OF,2,5/23/2018 13:44,5/23/2018 14:58,8.314089073,8.400531526,20171001,22.088,565,1.233333333,3.06,-2.06,-0.021853673,0.086442453,Dark Calcification
34,20171001,OF2-1,Light,OF2-1-Light,24,565,-61.2,24.35,37.3,37.92,2329.81,2335.986667,37.95,-58.9,23.55,OF,2,5/23/2018 12:15,5/23/2018 13:15,8.370024368,8.377518581,20171001,22.088,565,1,6.176667,-2.02,-0.026429507,0.007494212,Light Calcification
341,20171001,OF2-1,Net,OF2-1-Light,24,565,-61.2,24.35,37.3,37.92,2329.81,2335.986667,37.95,-58.9,23.55,OF,2,5/23/2018 12:15,5/23/2018 13:15,8.370024368,8.377518581,20171001,22.088,565,1,6.176667,-2.02,-0.04828318,0.007494212,Net Calcification
124,20171004,OF2-10,Dark,OF2-10-Dark,32,595,-55,27.93,37.3,38.02,2318.43,2321.653333,37.75,-56.3,29.17,OF,2,5/23/2018 16:56,5/23/2018 17:56,8.060479607,8.012266963,20171004,9.983,590,1,3.223333,3.87,0.116989677,-0.048212644,Dark Calcification
134,20171004,OF2-10,Light,OF2-10-Light,34,585,-58.9,29.23,37.3,38.12,2326.81,2323.915,37.74,-56.7,28.6,OF,2,5/23/2018 15:40,5/23/2018 16:41,8.052227316,8.051053213,20171004,9.983,590,1.016666667,-2.895,8.325,0.247538204,-0.001174103,Light Calcification
1341,20171004,OF2-10,Net,OF2-10-Light,29,585,-58.9,29.23,37.3,38.12,2326.81,2323.915,37.74,-56.7,28.6,OF,2,5/23/2018 15:40,5/23/2018 16:41,8.052227316,8.051053213,20171004,9.983,590,1.016666667,-2.895,8.325,0.364527882,-0.001174103,Net Calcification
144,20171020,OF2-11,Dark,OF2-11-Dark,36,580,-49.7,33.22,37,38.35,2484.20837,2456.385579,38.21,-51.3,36.25,OF,2,5/23/2018 12:34,5/23/2018 13:43,7.678410431,7.540094423,20171020,13.937,577.5,1.15,-27.822791,-3.51382,-0.064760471,-0.138316009,Dark Calcification
154,20171020,OF2-11,Light,OF2-11-Light,36,575,-50.8,33.15,37,39.26,2462.57,2448.035603,38.16,-52,36.2,OF,2,5/23/2018 11:13,5/23/2018 12:15,7.700337405,7.554194581,20171020,13.937,577.5,1.033333333,-14.534397,-0.1267825,-0.002600442,-0.146142824,Light Calcification
1541,20171020,OF2-11,Net,OF2-11-Light,36,575,-50.8,33.15,37,39.26,2462.57,2448.035603,38.16,-52,36.2,OF,2,5/23/2018 11:13,5/23/2018 12:15,7.700337405,7.554194581,20171020,13.937,577.5,1.033333333,-14.534397,-0.1267825,-0.067360913,-0.146142824,Net Calcification
4,20171001,OF2-2,Dark,OF2-2-Dark,26,585,-57.3,25.66,37.3,38.02,2339.67,2336.783333,38.05,-58.3,23.53,OF,2,5/23/2018 17:25,5/23/2018 18:31,8.228465891,8.368490496,20171001,11.131,580,1.1,-2.886667,-5.56,-0.134716737,0.140024604,Dark Calcification
14,20171001,OF2-2,Light,OF2-2-Light,26,575,-59.3,26,37.3,37.81,2338.91,2323.56,37.835,-59.6,25.4,OF,2,5/23/2018 16:00,5/23/2018 17:05,8.2426591,8.28222941,20171001,11.131,580,1.083333333,-15.35,-11.17,-0.274808724,0.039570309,Light Calcification
1410,20171001,OF2-2,Net,OF2-2-Light,26,575,-59.3,26,37.3,37.81,2338.91,2323.56,37.835,-59.6,25.4,OF,2,5/23/2018 16:00,5/23/2018 17:05,8.2426591,8.28222941,20171001,11.131,580,1.083333333,-15.35,-11.17,-0.409525461,0.039570309,Net Calcification
44,20171003,OF2-6,Dark,OF2-6-Dark,31,565,-53.5,29.55,37.3,37.36,2340.24,2327.36,37.37,-56.2,30.72,OF,2,5/23/2018 11:34,5/23/2018 12:35,7.944300943,7.92380815,20171003,16.667,570,1.016666667,-12.88,-5.07,-0.087235335,-0.020492793,Dark Calcification
54,20171003,OF2-6,Light,OF2-6-Light,31,575,-58.3,29.85,37.3,37.19,2311.66,2319.625,37.25,-56.2,30.5,OF,2,5/23/2018 10:19,5/23/2018 11:19,8.007362357,7.936082571,20171003,16.667,570,1,7.965,18.615,0.325631267,-0.071279786,Light Calcification
541,20171003,OF2-6,Net,OF2-6-Light,31,575,-58.3,29.85,37.3,37.19,2311.66,2319.625,37.25,-56.2,30.5,OF,2,5/23/2018 10:19,5/23/2018 11:19,8.007362357,7.936082571,20171003,16.667,570,1,7.965,18.615,0.238395932,-0.071279786,Net Calcification
64,20171003,OF2-7,Dark,OF2-7-Dark,27,555,-54.5,26.85,37.06,37.73,2316.68,2317.663333,37.77,-58.3,26.93,OF,2,5/23/2018 14:54,5/23/2018 15:54,8.113340735,8.172612194,20171003,23.387,552.5,1,0.983333,-3.41,-0.041205746,0.059271459,Dark Calcification
74,20171003,OF2-7,Light,OF2-7-Light,27,550,-59.8,26.96,37.06,37.65,2303.85,2324.67,37.61,-58.7,26.93,OF,2,5/23/2018 13:40,5/23/2018 14:41,8.196090223,8.179330067,20171003,23.387,552.5,1.016666667,20.82,16.84,0.200155214,-0.016760156,Light Calcification
741,20171003,OF2-7,Net,OF2-7-Light,27,550,-59.8,26.96,37.06,37.65,2303.85,2324.67,37.61,-58.7,26.93,OF,2,5/23/2018 13:40,5/23/2018 14:41,8.196090223,8.179330067,20171003,23.387,552.5,1.016666667,20.82,16.84,0.158949467,-0.016760156,Net Calcification
84,20171004,OF2-8,Dark,OF2-8-Dark,32,545,-52.5,32.53,37.4,38.15,2327.486028,2333.632046,38.18,-56.4,33.4,OF,2,5/23/2018 10:52,5/23/2018 11:52,7.762368307,7.778722935,20171004,17.452,540,1,6.146018,13.881028,0.2196928,0.016354628,Dark Calcification
94,20171004,OF2-8,Light,OF2-8-Light,32,535,-55.5,32.17,37.4,38.01,2328.927852,2336.14955,37.86,-55.1,33.76,OF,2,5/23/2018 9:34,5/23/2018 10:35,7.831715339,7.737600274,20171004,17.452,540,1.016666667,7.221698,3.641752,0.056692548,-0.094115065,Light Calcification
941,20171004,OF2-8,Net,OF2-8-Light,32,535,-55.5,32.17,37.4,38.01,2328.927852,2336.14955,37.86,-55.1,33.76,OF,2,5/23/2018 9:34,5/23/2018 10:35,7.831715339,7.737600274,20171004,17.452,540,1.016666667,7.221698,3.641752,0.276385348,-0.094115065,Net Calcification
104,20171004,OF2-9,Dark,OF2-9-Dark,34,565,-51.7,30.58,37.51,38.1,2326.84,2328.356163,37.86,-55.4,31.55,OF,2,5/23/2018 14:14,5/23/2018 15:15,7.856949606,7.864398571,20171004,21.552,562.5,1.016666667,1.516163,-0.7021695,-0.009220277,0.007448966,Dark Calcification
114,20171004,OF2-9,Light,OF2-9-Light,34,560,-57.6,30.6,37.51,37.93,2325.300966,2343.298901,37.98,-55.5,31.61,OF,2,5/23/2018 12:59,5/23/2018 14:02,7.953729952,7.862724663,20171004,21.552,562.5,1.05,17.997935,9.6664375,0.122901656,-0.091005289,Light Calcification
1141,20171004,OF2-9,Net,OF2-9-Light,34,560,-57.6,30.6,37.51,37.93,2325.300966,2343.298901,37.98,-55.5,31.61,OF,2,5/23/2018 12:59,5/23/2018 14:02,7.953729952,7.862724663,20171004,21.552,562.5,1.05,17.997935,9.6664375,0.113681379,-0.091005289,Net Calcification
25,20171001,OF3-1,Dark,OF3-1-Dark,24,555,-56.2,24,37.2,37.81,2316.52,2330.39,37.96,-59.5,23.33,OF,3,5/23/2018 13:39,5/23/2018 14:58,8.305567121,8.400531526,20171001,21.795,560,1.316666667,13.87,8.75,0.087339159,0.094964404,Dark Calcification
35,20171001,OF3-1,Light,OF3-1-Light,24,565,-61.8,24.37,37.3,37.94,2313.79,2335.986667,37.95,-58.9,23.55,OF,3,5/23/2018 12:21,5/23/2018 13:22,8.379026609,8.377518581,20171001,21.795,560,1.016666667,22.196667,14,0.180978191,-0.001508028,Light Calcification
351,20171001,OF3-1,Net,OF3-1-Light,24,565,-61.8,24.37,37.3,37.94,2313.79,2335.986667,37.95,-58.9,23.55,OF,3,5/23/2018 12:21,5/23/2018 13:22,8.379026609,8.377518581,20171001,21.795,560,1.016666667,22.196667,14,0.26831735,-0.001508028,Net Calcification
125,20171004,OF3-10,Dark,OF3-10-Dark,32,565,-53,27.67,37.3,37.61,2309.84,2321.653333,37.75,-56.3,29.17,OF,3,5/23/2018 16:54,5/23/2018 17:55,8.041687003,8.012266963,20171004,27.615,567.5,1.016666667,11.813333,12.46,0.128826709,-0.02942004,Dark Calcification
135,20171004,OF3-10,Light,OF3-10-Light,34,570,-60.2,28.2,37.3,37.73,2288.55,2323.915,37.74,-56.7,28.6,OF,3,5/23/2018 15:41,5/23/2018 16:41,8.132186366,8.051053213,20171004,27.615,567.5,1,35.365,46.585,0.489680214,-0.081133152,Light Calcification
1351,20171004,OF3-10,Net,OF3-10-Light,29,570,-60.2,28.2,37.3,37.73,2288.55,2323.915,37.74,-56.7,28.6,OF,3,5/23/2018 15:41,5/23/2018 16:41,8.132186366,8.051053213,20171004,27.615,567.5,1,35.365,46.585,0.618506923,-0.081133152,Net Calcification
145,20171020,OF3-11,Dark,OF3-11-Dark,36,595,-50.1,33.22,37,38.4,2486.717677,2456.385579,38.21,-51.3,36.25,OF,3,5/23/2018 12:32,5/23/2018 13:41,7.684990381,7.540094423,20171020,15.383,592.5,1.15,-30.332098,-6.023127,-0.103185134,-0.144895959,Dark Calcification
155,20171020,OF3-11,Light,OF3-11-Light,36,590,-50.5,33.05,37,38.23,2447.014099,2448.035603,38.16,-52,36.2,OF,3,5/23/2018 11:12,5/23/2018 12:15,7.700876581,7.554194581,20171020,15.383,592.5,1.05,1.021504,15.4291185,0.289497467,-0.146682,Light Calcification
1551,20171020,OF3-11,Net,OF3-11-Light,36,590,-50.5,33.05,37,38.23,2447.014099,2448.035603,38.16,-52,36.2,OF,3,5/23/2018 11:12,5/23/2018 12:15,7.700876581,7.554194581,20171020,15.383,592.5,1.05,1.021504,15.4291185,0.186312333,-0.146682,Net Calcification
5,20171001,OF3-2,Dark,OF3-2-Dark,26,580,-56,25.67,37.3,38.02,2332.62,2336.783333,38.05,-58.3,23.53,OF,3,5/23/2018 17:21,5/23/2018 18:27,8.205966657,8.368490496,20171001,22.141,567.5,1.1,4.163333,1.49,0.017758564,0.162523839,Dark Calcification
15,20171001,OF3-2,Light,OF3-2-Light,26,555,-60.9,25.97,37.3,37.81,2309.25,2323.56,37.835,-59.6,25.4,OF,3,5/23/2018 15:52,5/23/2018 16:51,8.271339332,8.28222941,20171001,22.141,567.5,0.983333333,14.31,18.49,0.246519014,0.010890077,Light Calcification
1510,20171001,OF3-2,Net,OF3-2-Light,26,555,-60.9,25.97,37.3,37.81,2309.25,2323.56,37.835,-59.6,25.4,OF,3,5/23/2018 15:52,5/23/2018 16:51,8.271339332,8.28222941,20171001,22.141,567.5,0.983333333,14.31,18.49,0.264277578,0.010890077,Net Calcification
45,20171003,OF3-6,Dark,OF3-6-Dark,31,590,-54.1,29.66,37.3,37.39,2326.32,2327.36,37.37,-56.2,30.72,OF,3,5/23/2018 11:33,5/23/2018 12:34,7.948132451,7.92380815,20171003,13.273,587.5,1.016666667,1.04,8.85,0.197082971,-0.024324301,Dark Calcification
55,20171003,OF3-6,Light,OF3-6-Light,31,585,-58.9,30.02,37.3,37.24,2308.42,2319.625,37.25,-56.2,30.5,OF,3,5/23/2018 10:13,5/23/2018 11:13,8.007797345,7.936082571,20171003,13.273,587.5,1,11.205,21.855,0.494806306,-0.071714774,Light Calcification
551,20171003,OF3-6,Net,OF3-6-Light,31,585,-58.9,30.02,37.3,37.24,2308.42,2319.625,37.25,-56.2,30.5,OF,3,5/23/2018 10:13,5/23/2018 11:13,8.007797345,7.936082571,20171003,13.273,587.5,1,11.205,21.855,0.691889277,-0.071714774,Net Calcification
65,20171003,OF3-7,Dark,OF3-7-Dark,27,575,-54.8,26.5,37.06,37.64,2274.35,2317.663333,37.77,-58.3,26.93,OF,3,5/23/2018 15:03,5/23/2018 16:04,8.138309483,8.172612194,20171003,31.543,572.5,1.016666667,43.313333,38.92,0.355395873,0.034302711,Dark Calcification
75,20171003,OF3-7,Light,OF3-7-Light,27,570,-58.8,26.97,37.06,37.64,2270.42,2324.67,37.61,-58.7,26.93,OF,3,5/23/2018 13:48,5/23/2018 14:48,8.178726512,8.179330067,20171003,31.543,572.5,1,54.25,50.27,0.466688413,0.000603555,Light Calcification
751,20171003,OF3-7,Net,OF3-7-Light,27,570,-58.8,26.97,37.06,37.64,2270.42,2324.67,37.61,-58.7,26.93,OF,3,5/23/2018 13:48,5/23/2018 14:48,8.178726512,8.179330067,20171003,31.543,572.5,1,54.25,50.27,0.822084286,0.000603555,Net Calcification
85,20171004,OF3-8,Dark,OF3-8-Dark,32,580,-54.8,32.09,37.4,38.15,2331.466291,2333.632046,38.18,-56.4,33.4,OF,3,5/23/2018 10:57,5/23/2018 11:58,7.824582058,7.778722935,20171004,11.485,582.5,1.016666667,2.165755,9.900765,0.252639199,-0.045859123,Dark Calcification
95,20171004,OF3-8,Light,OF3-8-Light,32,585,-55.3,32.51,37.4,37.97,2319.390348,2336.14955,37.86,-55.1,33.76,OF,3,5/23/2018 9:37,5/23/2018 10:39,7.809635497,7.737600274,20171004,11.485,582.5,1.033333333,16.759202,13.179256,0.330872767,-0.072035223,Light Calcification
951,20171004,OF3-8,Net,OF3-8-Light,32,585,-55.3,32.51,37.4,37.97,2319.390348,2336.14955,37.86,-55.1,33.76,OF,3,5/23/2018 9:37,5/23/2018 10:39,7.809635497,7.737600274,20171004,11.485,582.5,1.033333333,16.759202,13.179256,0.583511966,-0.072035223,Net Calcification
105,20171004,OF3-9,Dark,OF3-9-Dark,34,570,-52.8,30.32,37.51,37.93,2321.97,2328.356163,37.86,-55.4,31.55,OF,3,5/23/2018 14:18,5/23/2018 15:20,7.88967209,7.864398571,20171004,21.63,570,1.033333333,6.386163,4.1678305,0.054366776,-0.025273519,Dark Calcification
115,20171004,OF3-9,Light,OF3-9-Light,34,570,-57.2,30.78,37.51,38.25,2318.550569,2343.298901,37.98,-55.5,31.61,OF,3,5/23/2018 13:05,5/23/2018 14:07,7.937045045,7.862724663,20171004,21.63,570,1.033333333,24.748332,16.4168345,0.214147474,-0.074320382,Light Calcification
1151,20171004,OF3-9,Net,OF3-9-Light,34,570,-57.2,30.78,37.51,38.25,2318.550569,2343.298901,37.98,-55.5,31.61,OF,3,5/23/2018 13:05,5/23/2018 14:07,7.937045045,7.862724663,20171004,21.63,570,1.033333333,24.748332,16.4168345,0.26851425,-0.074320382,Net Calcification
26,20171001,OF4-1,Dark,OF4-1-Dark,24,575,-55.8,24.16,37.2,37.96,2323.59,2330.39,37.96,-59.5,23.33,OF,4,5/23/2018 13:46,5/23/2018 14:49,8.289526964,8.400531526,20171001,24.318,577.5,1.05,6.8,1.68,0.019435233,0.111004561,Dark Calcification
36,20171001,OF4-1,Light,OF4-1-Light,24,580,-61.6,24.5,37.3,37.96,2312.58,2335.986667,37.95,-58.9,23.55,OF,4,5/23/2018 12:24,5/23/2018 13:24,8.368090809,8.377518581,20171001,24.318,577.5,1,23.406667,15.21,0.184756185,0.009427771,Light Calcification
361,20171001,OF4-1,Net,OF4-1-Light,24,580,-61.6,24.5,37.3,37.96,2312.58,2335.986667,37.95,-58.9,23.55,OF,4,5/23/2018 12:24,5/23/2018 13:24,8.368090809,8.377518581,20171001,24.318,577.5,1,23.406667,15.21,0.204191418,0.009427771,Net Calcification
126,20171004,OF4-10,Dark,OF4-10-Dark,32,590,-53.8,28.26,37.3,37.64,2313.02,2321.653333,37.75,-56.3,29.17,OF,4,5/23/2018 16:50,5/23/2018 18:00,8.021769921,8.012266963,20171004,15.856,585,1.166666667,8.633333,9.28,0.150109803,-0.009502959,Dark Calcification
136,20171004,OF4-10,Light,OF4-10-Light,34,580,-58.1,28.52,37.3,37.78,2324.29,2323.915,37.74,-56.7,28.6,OF,4,5/23/2018 15:44,5/23/2018 16:45,8.078957738,8.051053213,20171004,15.856,585,1.016666667,-0.375,10.845,0.201306982,-0.027904524,Light Calcification
1361,20171004,OF4-10,Net,OF4-10-Light,29,580,-58.1,28.52,37.3,37.78,2324.29,2323.915,37.74,-56.7,28.6,OF,4,5/23/2018 15:44,5/23/2018 16:45,8.078957738,8.051053213,20171004,15.856,585,1.016666667,-0.375,10.845,0.351416785,-0.027904524,Net Calcification
146,20171020,OF4-11,Dark,OF4-11-Dark,36,555,-49.4,32.52,37,38.33,2498.078344,2456.385579,38.21,-51.3,36.25,OF,4,5/23/2018 12:29,5/23/2018 13:35,7.711807174,7.540094423,20171020,22.598,552.5,1.1,-41.692765,-17.383794,-0.197633152,-0.171712752,Dark Calcification
156,20171020,OF4-11,Light,OF4-11-Light,36,550,-50.3,32.88,37,38.26,2444.707886,2448.035603,38.16,-52,36.2,OF,4,5/23/2018 11:09,5/23/2018 12:08,7.706897486,7.554194581,20171020,22.598,552.5,0.983333333,3.327717,17.7353315,0.225551887,-0.152702904,Light Calcification
1561,20171020,OF4-11,Net,OF4-11-Light,36,550,-50.3,32.88,37,38.26,2444.707886,2448.035603,38.16,-52,36.2,OF,4,5/23/2018 11:09,5/23/2018 12:08,7.706897486,7.554194581,20171020,22.598,552.5,0.983333333,3.327717,17.7353315,0.027918735,-0.152702904,Net Calcification
6,20171001,OF4-2,Dark,OF4-2-Dark,26,580,-54.9,25.58,37.3,38.04,2322.35,2336.783333,38.05,-58.3,23.53,OF,4,5/23/2018 17:26,5/23/2018 18:27,8.192570376,8.368490496,20171001,25.632,577.5,1.016666667,14.433333,11.76,0.133304211,0.17592012,Dark Calcification
16,20171001,OF4-2,Light,OF4-2-Light,26,575,-61.1,26.09,37.3,37.81,2302.25,2323.56,37.835,-59.6,25.4,OF,4,5/23/2018 15:56,5/23/2018 16:56,8.267808659,8.28222941,20171001,25.632,577.5,1,21.31,25.49,0.293754797,0.014420751,Light Calcification
161,20171001,OF4-2,Net,OF4-2-Light,26,575,-61.1,26.09,37.3,37.81,2302.25,2323.56,37.835,-59.6,25.4,OF,4,5/23/2018 15:56,5/23/2018 16:56,8.267808659,8.28222941,20171001,25.632,577.5,1,21.31,25.49,0.427059008,0.014420751,Net Calcification
46,20171003,OF4-6,Dark,OF4-6-Dark,31,580,-53,29.7,37.3,37.38,2329.2,2327.36,37.37,-56.2,30.72,OF,4,5/23/2018 11:36,5/23/2018 12:44,7.927588887,7.92380815,20171003,14.79,577.5,1.133333333,-1.84,5.97,0.10520736,-0.003780737,Dark Calcification
56,20171003,OF4-6,Light,OF4-6-Light,31,575,-58.5,30.05,37.3,37.28,2304.61,2319.625,37.25,-56.2,30.5,OF,4,5/23/2018 10:06,5/23/2018 11:06,7.999465156,7.936082571,20171003,14.79,577.5,1,15.015,25.665,0.512590699,-0.063382585,Light Calcification
561,20171003,OF4-6,Net,OF4-6-Light,31,575,-58.5,30.05,37.3,37.28,2304.61,2319.625,37.25,-56.2,30.5,OF,4,5/23/2018 10:06,5/23/2018 11:06,7.999465156,7.936082571,20171003,14.79,577.5,1,15.015,25.665,0.617798058,-0.063382585,Net Calcification
66,20171003,OF4-7,Dark,OF4-7-Dark,27,590,-56.5,26.7,37.06,37.71,2306.61,2317.663333,37.77,-58.3,26.93,OF,4,5/23/2018 14:53,5/23/2018 15:53,8.15548952,8.172612194,20171003,14.675,585,1,11.053333,6.66,0.135799329,0.017122674,Dark Calcification
