Date,Fragment.ID,Light_Dark,Fragment.ID.Full,Temp.Cat,Volume,pH.mv,Temp.probe,Salinity. In situ,Salinity.TA,TA,Start.TA,Start.Salinity,Start.mv,Start.Temp,Species,Genotype,Start time,Stop Time
20171001,BK1-1,Dark,BK1-1-Dark,24,620,-58.6,23.89,37.2,37.93,2328.03,2330.39,37.96,-59.5,23.33,BK,1,13:50,15:03
20171001,BK1-1,Light,BK1-1-Light,24,610,-59.4,24.29,37.3,37.96,2325.14,2335.986667,37.95,-58.9,23.55,BK,1,12:27,13:29
20171001,BK1-2,Dark,BK1-2-Dark,26,610,-56,25.5,37.3,38.08,2330.93,2336.783333,38.05,-58.3,23.53,BK,1,17:20,18:20
20171001,BK1-2,Light,BK1-2-Light,26,595,-58.1,26.01,37.3,37.79,2326.15,2323.56,37.835,-59.6,25.4,BK,1,16:13,17:12
20171001,BK2-1,Dark,BK2-1-Dark,24,600,-58.7,23.89,37.2,38,2322.51,2330.39,37.96,-59.5,23.33,BK,2,13:47,15:03
20171001,BK2-1,Light,BK2-1-Light,24,610,-59.5,24.23,37.3,37.93,2330.44,2335.986667,37.95,-58.9,23.55,BK,2,12:30,13:29
20171001,BK2-2,Dark,BK2-2-Dark,26,610,-58.7,25.47,37.3,38.05,2337.29,2336.783333,38.05,-58.3,23.53,BK,2,17:31,18:40
20171001,BK2-2,Light,BK2-2-Light,26,590,-58.4,25.85,37.3,37.8,2329.33,2323.56,37.835,-59.6,25.4,BK,2,16:11,17:12
20171001,OF1-1,Dark,OF1-1-Dark,24,595,-56.5,24.05,37.2,38.06,2322.83,2330.39,37.96,-59.5,23.33,OF,1,13:38,14:49
20171001,OF1-1,Light,OF1-1-Light,24,590,-61.9,24.26,37.3,37.96,2316.01,2335.986667,37.95,-58.9,23.55,OF,1,11:57,12:57
20171001,OF1-2,Dark,OF1-2-Dark,26,560,-56.7,25.64,37.3,38,2336.82,2336.783333,38.05,-58.3,23.53,OF,1,17:24,18:32
20171001,OF1-2,Light,OF1-2-Light,26,565,-59,25.84,37.3,37.79,2314.64,2323.56,37.835,-59.6,25.4,OF,1,15:50,16:51
20171001,OF2-1,Dark,OF2-1-Dark,24,565,-56.6,23.97,37.2,37.62,2327.33,2330.39,37.96,-59.5,23.33,OF,2,13:44,14:58
20171001,OF2-1,Light,OF2-1-Light,24,565,-61.2,24.35,37.3,37.92,2311.158,2335.986667,37.95,-58.9,23.55,OF,2,12:15,13:15
20171001,OF2-2,Dark,OF2-2-Dark,26,585,-57.3,25.66,37.3,38.02,2339.67,2336.783333,38.05,-58.3,23.53,OF,2,17:25,18:31
20171001,OF2-2,Light,OF2-2-Light,26,575,-59.3,26,37.3,37.81,2323.147,2323.56,37.835,-59.6,25.4,OF,2,16:00,17:05
20171001,OF3-1,Dark,OF3-1-Dark,24,555,-56.2,24,37.2,37.81,2316.52,2330.39,37.96,-59.5,23.33,OF,3,13:39,14:58
20171001,OF3-1,Light,OF3-1-Light,24,565,-61.8,24.37,37.3,37.94,2313.79,2335.986667,37.95,-58.9,23.55,OF,3,12:21,13:22
20171001,OF3-2,Dark,OF3-2-Dark,26,580,-56,25.67,37.3,38.02,2332.62,2336.783333,38.05,-58.3,23.53,OF,3,17:21,18:27
20171001,OF3-2,Light,OF3-2-Light,26,555,-60.9,25.97,37.3,37.81,2309.25,2323.56,37.835,-59.6,25.4,OF,3,15:52,16:51
20171001,OF4-1,Dark,OF4-1-Dark,24,575,-55.8,24.16,37.2,37.96,2323.59,2330.39,37.96,-59.5,23.33,OF,4,13:46,14:49
20171001,OF4-1,Light,OF4-1-Light,24,580,-61.6,24.5,37.3,37.96,2301.34,2335.986667,37.95,-58.9,23.55,OF,4,12:24,13:24
20171001,OF4-2,Dark,OF4-2-Dark,26,580,-54.9,25.58,37.3,38.04,2322.35,2336.783333,38.05,-58.3,23.53,OF,4,17:26,18:27
20171001,OF4-2,Light,OF4-2-Light,26,575,-61.1,26.09,37.3,37.81,2289.96,2323.56,37.835,-59.6,25.4,OF,4,15:56,16:56
20171003,BK1-6,Dark,BK1-6-Dark,31,605,-56.1,29.67,37.3,37.38,2337.43,2327.36,37.37,-56.2,30.72,BK,1,11:42,12:45
20171003,BK1-6,Light,BK1-6-Light,31,610,-56,29.82,37.3,37.24,2332.85,2319.625,37.25,-56.2,30.5,BK,1,11:31,12:31
20171003,BK1-7,Dark,BK1-7-Dark,27,590,-58.3,26.68,37.06,37.76,2315.97,2317.663333,37.77,-58.3,26.93,BK,1,10:03,11:04
20171003,BK1-7,Light,BK1-7-Light,27,605,-57.6,26.77,37.06,37.61,2325.62,2324.67,37.61,-58.7,26.93,BK,1,15:02,16:02
20171003,BK2-6,Dark,BK2-6-Dark,31,610,-56.1,29.65,37.3,37.64,2332.91,2327.36,37.37,-56.2,30.72,BK,2,11:42,12:45
20171003,BK2-6,Light,BK2-6-Light,31,610,-56,30.05,37.3,37.14,2327.7,2319.625,37.25,-56.2,30.5,BK,2,10:23,11:24
20171003,BK2-7,Dark,BK2-7-Dark,27,595,-57.8,26.68,37.06,37.72,2310.57,2317.663333,37.77,-58.3,26.93,BK,2,15:00,16:00
20171003,BK2-7,Light,BK2-7-Light,27,605,-56.9,26.98,37.06,37.74,2315.76,2324.67,37.61,-58.7,26.93,BK,2,13:46,14:46
20171003,OF1-6,Dark,OF1-6-Dark,31,570,-50.9,29.57,37.3,37.36,2324.98,2327.36,37.37,-56.2,30.72,OF,1,11:32,12:32
20171003,OF1-6,Light,OF1-6-Light,31,565,-61,30.5,37.3,37.21,2292.15,2319.625,37.25,-56.2,30.5,OF,1,10:23,11:24
20171003,OF1-7,Dark,OF1-7-Dark,27,550,-55.9,26.6,37.06,37.71,2319.41,2317.663333,37.77,-58.3,26.93,OF,1,14:57,15:58
20171003,OF1-7,Light,OF1-7-Light,27,550,-59,26.97,37.06,37.7,2267,2324.67,37.61,-58.7,26.93,OF,1,13:35,14:36
20171003,OF2-6,Dark,OF2-6-Dark,31,565,-53.5,29.55,37.3,37.36,2340.24,2327.36,37.37,-56.2,30.72,OF,2,11:34,12:35
20171003,OF2-6,Light,OF2-6-Light,31,575,-58.3,29.85,37.3,37.19,2302.976,2319.625,37.25,-56.2,30.5,OF,2,10:19,11:19
