Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Phase [¡],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
34834,1/10/2017 12:29,0,Oxy11 (PSt7-10),30/9/17 18:06:12,default,206.921,_mol/L,23.679,¡C,1016,hPa,Humid,37,0,0,21.596,157419,327258.64,34.3,55,#N/A
34835,1/10/2017 12:29,0.019,Oxy11 (PSt7-10),30/9/17 18:06:12,default,207.115,_mol/L,23.656,¡C,1016,hPa,Humid,37,0,0,21.593,157394,327218.3,34.3,55,#N/A
34836,1/10/2017 12:29,0.036,Oxy11 (PSt7-10),30/9/17 18:06:12,default,206.781,_mol/L,23.69,¡C,1016,hPa,Humid,37,0,0,21.6,157387,327198.8,34.3,55,#N/A
34837,1/10/2017 12:29,0.052,Oxy11 (PSt7-10),30/9/17 18:06:12,default,206.888,_mol/L,23.672,¡C,1016,hPa,Humid,37,0,0,21.6,157383,327156.55,34.3,55,#N/A
34838,1/10/2017 12:29,0.069,Oxy11 (PSt7-10),30/9/17 18:06:12,default,206.827,_mol/L,23.676,¡C,1016,hPa,Humid,37,0,0,21.602,157409,327154.85,34.3,55,#N/A
34839,1/10/2017 12:29,0.086,Oxy11 (PSt7-10),30/9/17 18:06:12,default,206.914,_mol/L,23.668,¡C,1016,hPa,Humid,37,0,0,21.6,157383,327142.65,34.3,55,#N/A
34840,1/10/2017 12:29,0.103,Oxy11 (PSt7-10),30/9/17 18:06:12,default,207.019,_mol/L,23.657,¡C,1016,hPa,Humid,37,0,0,21.598,157377,327130.84,34.3,55,#N/A
34841,1/10/2017 12:29,0.119,Oxy11 (PSt7-10),30/9/17 18:06:12,default,206.878,_mol/L,23.662,¡C,1016,hPa,Humid,37,0,0,21.604,157391,327136.39,34.3,55,#N/A
34842,1/10/2017 12:29,0.136,Oxy11 (PSt7-10),30/9/17 18:06:12,default,206.938,_mol/L,23.658,¡C,1016,hPa,Humid,37,0,0,21.602,157376,327127.3,34.3,55,#N/A
34843,1/10/2017 12:29,0.152,Oxy11 (PSt7-10),30/9/17 18:06:12,default,206.82,_mol/L,23.665,¡C,1016,hPa,Humid,37,0,0,21.606,157348,327115.47,34.3,55,#N/A
34844,1/10/2017 12:29,0.169,Oxy11 (PSt7-10),30/9/17 18:06:12,default,206.622,_mol/L,23.686,¡C,1016,hPa,Humid,37,0,0,21.61,157353,327100,34.3,55,#N/A
34845,1/10/2017 12:29,0.186,Oxy11 (PSt7-10),30/9/17 18:06:12,default,206.847,_mol/L,23.655,¡C,1016,hPa,Humid,37,0,0,21.608,157421,327105.58,34.3,55,#N/A
34846,1/10/2017 12:29,0.203,Oxy11 (PSt7-10),30/9/17 18:06:12,default,206.628,_mol/L,23.688,¡C,1016,hPa,Humid,37,0,0,21.609,157518,327102.25,34.3,55,#N/A
34847,1/10/2017 12:29,0.219,Oxy11 (PSt7-10),30/9/17 18:06:12,default,206.806,_mol/L,23.662,¡C,1016,hPa,Humid,37,0,0,21.608,157638,327098.52,34.3,55,#N/A
34848,1/10/2017 12:29,0.236,Oxy11 (PSt7-10),30/9/17 18:06:12,default,206.661,_mol/L,23.683,¡C,1016,hPa,Humid,37,0,0,21.609,157655,327091.88,34.3,55,#N/A
34849,1/10/2017 12:29,0.252,Oxy11 (PSt7-10),30/9/17 18:06:12,default,206.573,_mol/L,23.688,¡C,1016,hPa,Humid,37,0,0,21.612,157585,327097.06,34.3,55,#N/A
34850,1/10/2017 12:29,0.269,Oxy11 (PSt7-10),30/9/17 18:06:12,default,206.671,_mol/L,23.678,¡C,1016,hPa,Humid,37,0,0,21.61,157557,327095.13,34.3,55,#N/A
34851,1/10/2017 12:29,0.286,Oxy11 (PSt7-10),30/9/17 18:06:12,default,206.57,_mol/L,23.685,¡C,1016,hPa,Humid,37,0,0,21.613,157830,327100.72,34.3,55,#N/A
34852,1/10/2017 12:29,0.303,Oxy11 (PSt7-10),30/9/17 18:06:12,default,206.606,_mol/L,23.679,¡C,1016,hPa,Humid,37,0,0,21.613,157636,327090.35,34.3,55,#N/A
34853,1/10/2017 12:29,0.319,Oxy11 (PSt7-10),30/9/17 18:06:12,default,206.582,_mol/L,23.686,¡C,1016,hPa,Humid,37,0,0,21.612,157641,327089.8,34.3,55,#N/A
