Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Phase [Á],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
35030,1/10/2017 12:31,52.462,JB2_Spot (PSt7-10),1/10/2017 9:36,default,3067.492,_mol/L,23.494,ÁC,1016,hPa,Humid,37,0,4,2.947,1243,319997.14,43.75,60,#N/A
35034,1/10/2017 12:31,52.484,JB2_Spot (PSt7-10),1/10/2017 9:36,default,2881.706,_mol/L,23.497,ÁC,1016,hPa,Humid,37,0,4,3.115,1247,319952.25,43.75,60,#N/A
35040,1/10/2017 12:31,52.501,JB2_Spot (PSt7-10),1/10/2017 9:36,default,3292.878,_mol/L,23.492,ÁC,1016,hPa,Humid,37,0,4,2.766,1292,319921.44,43.75,60,#N/A
35044,1/10/2017 12:31,52.518,JB2_Spot (PSt7-10),1/10/2017 9:36,default,2563.184,_mol/L,23.49,ÁC,1016,hPa,Humid,37,0,4,3.454,1252,319908.11,43.75,60,#N/A
35048,1/10/2017 12:31,52.535,JB2_Spot (PSt7-10),1/10/2017 9:36,default,1792.546,_mol/L,23.5,ÁC,1016,hPa,Humid,37,0,4,4.69,1340,319900.88,43.75,60,#N/A
35053,1/10/2017 12:31,52.552,JB2_Spot (PSt7-10),1/10/2017 9:36,default,2715.48,_mol/L,23.507,ÁC,1016,hPa,Humid,37,0,4,3.282,1228,319850.15,43.75,60,#N/A
35056,1/10/2017 12:31,52.567,JB2_Spot (PSt7-10),1/10/2017 9:36,default,3022.38,_mol/L,23.509,ÁC,1016,hPa,Humid,37,0,4,2.985,1234,319891.71,43.75,60,#N/A
35060,1/10/2017 12:31,52.584,JB2_Spot (PSt7-10),1/10/2017 9:36,default,3021.795,_mol/L,23.49,ÁC,1016,hPa,Humid,37,0,4,2.987,1237,319881.81,43.75,60,#N/A
35064,1/10/2017 12:31,52.601,JB2_Spot (PSt7-10),1/10/2017 9:36,default,2558.003,_mol/L,23.492,ÁC,1016,hPa,Humid,37,0,4,3.46,1233,319883.2,43.75,60,#N/A
35069,1/10/2017 12:31,52.618,JB2_Spot (PSt7-10),1/10/2017 9:36,default,2781.361,_mol/L,23.499,ÁC,1016,hPa,Humid,37,0,4,3.214,1229,319873.57,43.75,60,#N/A
35073,1/10/2017 12:31,52.635,JB2_Spot (PSt7-10),1/10/2017 9:36,default,2671.801,_mol/L,23.497,ÁC,1016,hPa,Humid,37,0,4,3.33,1233,319860.27,43.75,60,#N/A
35077,1/10/2017 12:31,52.652,JB2_Spot (PSt7-10),1/10/2017 9:36,default,2812.236,_mol/L,23.497,ÁC,1016,hPa,Humid,37,0,4,3.183,1242,319843.11,43.75,60,#N/A
35079,1/10/2017 12:31,52.668,JB2_Spot (PSt7-10),1/10/2017 9:36,default,1025.092,_mol/L,23.493,ÁC,1016,hPa,Humid,37,0,4,7.34,1555,319844.93,43.75,60,#N/A
35084,1/10/2017 12:31,52.684,JB2_Spot (PSt7-10),1/10/2017 9:36,default,1500.64,_mol/L,23.486,ÁC,1016,hPa,Humid,37,0,4,5.433,1408,319843.77,43.75,60,#N/A
35088,1/10/2017 12:31,52.701,JB2_Spot (PSt7-10),1/10/2017 9:36,default,222.942,_mol/L,23.494,ÁC,1016,hPa,Humid,37,0,0,20.062,16977,319804.49,43.75,60,#N/A
35093,1/10/2017 12:31,52.718,JB2_Spot (PSt7-10),1/10/2017 9:36,default,225.495,_mol/L,23.489,ÁC,1016,hPa,Humid,37,0,0,19.937,15505,319802.29,43.75,60,#N/A
35097,1/10/2017 12:31,52.735,JB2_Spot (PSt7-10),1/10/2017 9:36,default,223.18,_mol/L,23.476,ÁC,1016,hPa,Humid,37,0,0,20.056,16936,319813.61,43.75,60,#N/A
35101,1/10/2017 12:31,52.752,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.375,_mol/L,23.479,ÁC,1016,hPa,Humid,37,0,0,19.897,15051,319787.4,43.75,60,#N/A
35103,1/10/2017 12:31,52.767,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.981,_mol/L,23.486,ÁC,1016,hPa,Humid,37,0,0,19.865,14657,319788.99,43.75,60,#N/A
35108,1/10/2017 12:31,52.784,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.771,_mol/L,23.502,ÁC,1016,hPa,Humid,37,0,0,19.87,14655,319800.98,43.75,60,#N/A
35113,1/10/2017 12:31,52.801,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.991,_mol/L,23.493,ÁC,1016,hPa,Humid,37,0,0,19.862,14605,319794.35,43.75,60,#N/A
35117,1/10/2017 12:31,52.818,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.198,_mol/L,23.505,ÁC,1016,hPa,Humid,37,0,0,19.897,14578,319782.86,43.75,60,#N/A
35121,1/10/2017 12:31,52.835,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.937,_mol/L,23.492,ÁC,1016,hPa,Humid,37,0,0,19.865,14529,319782.95,43.75,60,#N/A
35125,1/10/2017 12:31,52.852,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.428,_mol/L,23.492,ÁC,1016,hPa,Humid,37,0,0,19.89,14503,319781.57,43.75,60,#N/A
35128,1/10/2017 12:31,52.868,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.29,_mol/L,23.507,ÁC,1016,hPa,Humid,37,0,0,19.892,14480,319772.39,43.75,60,#N/A
35132,1/10/2017 12:31,52.884,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.539,_mol/L,23.506,ÁC,1016,hPa,Humid,37,0,0,19.88,14467,319764.78,43.75,60,#N/A
35137,1/10/2017 12:31,52.901,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.537,_mol/L,23.485,ÁC,1016,hPa,Humid,37,0,0,19.887,14459,319779.98,43.75,60,#N/A
35141,1/10/2017 12:31,52.918,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.316,_mol/L,23.497,ÁC,1016,hPa,Humid,37,0,0,19.894,14434,319778.06,43.75,60,#N/A
35145,1/10/2017 12:31,52.935,JB2_Spot (PSt7-10),1/10/2017 9:36,default,226.66,_mol/L,23.506,ÁC,1016,hPa,Humid,37,0,0,19.874,14408,319774.79,43.75,60,#N/A
35148,1/10/2017 12:31,52.951,JB2_Spot (PSt7-10),1/10/2017 9:36,default,233.414,_mol/L,23.512,ÁC,1016,hPa,Humid,37,0,0,19.548,11798,319764.68,43.75,60,#N/A
35153,1/10/2017 12:31,52.968,JB2_Spot (PSt7-10),1/10/2017 9:36,default,229.146,_mol/L,23.498,ÁC,1016,hPa,Humid,37,0,0,19.756,13600,319761.95,43.75,60,#N/A
35156,1/10/2017 12:31,52.984,JB2_Spot (PSt7-10),1/10/2017 9:36,default,228.771,_mol/L,23.498,ÁC,1016,hPa,Humid,37,0,0,19.774,13588,319761.68,43.75,60,#N/A
