Fragment.ID,Surf.Area.cm2
OF1-1_20171001,17.848
OF1-10_20171004,27.659
OF1-2_20171001,19.396
OF1-6_20171003,33.454
OF1-7_20171003,21.925
OF1-8_20171004,22.74
OF1-9_20171004,34.352
OF2-1_20171001,22.088
OF2-10_20171004,9.983
OF2-2_20171001,11.131
OF2-6_20171003,16.667
OF2-7_20171003,23.387
OF2-8_20171004,17.452
OF2-9_20171004,21.552
OF3-1_20171001,21.795
OF3-10_20171004,27.615
OF3-2_20171001,22.141
OF3-6_20171003,13.273
OF3-7_20171003,31.543
OF3-8_20171004,11.485
OF3-9_20171004,21.63
OF4-1_20171001,24.318
OF4-10_20171004,15.856
OF4-2_20171001,25.632
OF4-6_20171003,14.79
OF4-7_20171003,14.675
OF4-8_20171004,15.551
OF4-9_20171004,27.962
OF1-11_20171020,31.797
OF2-11_20171020,13.937
OF3-11_20171020,15.383
OF4-11_20171020,22.598
