Measurement,Level_0,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8
1,0,32,69,94,182,289,478,618,724
2,0,34,64,111,171,348,518,663,756
3,0,30,62,115,175,295,446,646,667
4,0,28,50,85,140,245,372,506,724
5,0,26,57,83,138,260,391,526,744
6,0,23,68,111,166,282,477,661,779
7,0,40,64,114,174,297,489,655,838
8,0,34,66,116,,,,,
,,,,,,,,,
mean,0,30.875,62.5,103.625,163.7142857,288,453,610.7142857,747.4285714
