Date,Fragment.ID.full,Chamber.Channel,Run,Species,Genotype,Fragment.Number,Temp.Cat,Start time,Stop Time,Light_Dark,Fragment.ID
20171128,BK1-1_O2_DARK,2,1,BK,1,1,21,16:09,17:16,Dark,BK1-1
20171128,BK1-1_O2_LIGHT,2,1,BK,1,1,21,15:01,16:09,Light,BK1-1
20171128,BK2-1_O2_DARK,1,1,BK,2,1,22,16:09,17:15,Dark,BK2-1
20171128,BK2-1_O2_LIGHT,1,1,BK,2,1,22,14:41,16:09,Light,BK2-1
20171128,BK1-2_O2_DARK,10,2,BK,1,2,26,19:03,20:06,Dark,BK1-2
20171128,BK1-2_O2_LIGHT,10,2,BK,1,2,26,18:05,19:03,Light,BK1-2
20171128,BK2-2_O2_DARK,6,2,BK,2,2,26,19:02,20:05,Dark,BK2-2
20171128,BK2-2_O2_LIGHT,6,2,BK,2,2,26,18:05,19:02,Light,BK2-2
20171129,BK1-3_O2_DARK,9,3,BK,1,3,34,9:24,10:32,Dark,BK1-3
20171129,BK1-3_O2_LIGHT,9,3,BK,1,3,34,8:21,9:24,Light,BK1-3
20171129,BK2-3_O2_DARK,2,3,BK,2,3,34,9:23,10:31,Dark,BK2-3
20171129,BK2-3_O2_LIGHT,2,3,BK,2,3,34,8:21,9:23,Light,BK2-3
20171129,BK1-4_O2_DARK,10,4,BK,1,4,36,14:08,15:06,Dark,BK1-4
20171129,BK1-4_O2_LIGHT,10,4,BK,1,4,36,12:42,14:08,Light,BK1-4
20171129,BK2-4_O2_DARK,5,4,BK,2,4,36,14:07,15:06,Dark,BK2-4
20171129,BK2-4_O2_LIGHT,5,4,BK,2,4,36,12:41,14:07,Light,BK2-4
20171129,BK1-5_O2_DARK,9,5,BK,1,5,33,17:07,18:26,Dark,BK1-5
20171129,BK1-5_O2_LIGHT,9,5,BK,1,5,33,16:08,17:07,Light,BK1-5
20171129,BK2-5_O2_DARK,4,5,BK,2,5,33,17:07,18:26,Dark,BK2-5
20171129,BK2-5_O2_LIGHT,4,5,BK,2,5,33,16:08,17:07,Light,BK2-5
20171129,BK1-6_O2_DARK,3,6,BK,1,6,32,21:25,22:36,Dark,BK1-6
20171129,BK1-6_O2_LIGHT,3,6,BK,1,6,32,20:25,21:25,Light,BK1-6
20171129,BK2-6_O2_DARK,5,6,BK,2,6,32,21:25,22:36,Dark,BK2-6
20171129,BK2-6_O2_LIGHT,5,6,BK,2,6,32,20:25,21:25,Light,BK2-6
20171130,BK1-7_O2_DARK,9,7,BK,1,7,28,9:19,10:32,Dark,BK1-7
20171130,BK1-7_O2_LIGHT,9,7,BK,1,7,28,8:13,9:19,Light,BK1-7
