Date,Sample.ID,Fragment.ID,Chamber.Channel,Position,Bin.ID,Run,Species,Genotype,Fragment.Number,Sample.Type,Temp.Cat,Chamber.Vol.L,Surf.Area.cm2,Start time,Stop Time,Light_Dark,Light_Level,Probe_Spot,Notes,QC
20171201,BK2-11_3_20171201,BK2-11_3,NA,NA,NA,PI,Blank,NA,BK2,Blank,28,0.61,NA,,,Light,62,Probe,,
20171201,BK2-11_4_20171201,BK2-11_4,NA,NA,NA,PI,Blank,NA,BK2,Blank,28,0.61,NA,,,Light,103,Probe,,
20171201,BK2-11_5_20171201,BK2-11_5,NA,NA,NA,PI,Blank,NA,BK2,Blank,28,0.61,NA,,,Light,163,Probe,,
20171201,BK2-11_6_20171201,BK2-11_6,NA,NA,NA,PI,Blank,NA,BK2,Blank,28,0.61,NA,,,Light,288,Probe,,
20171201,BK2-11_7_20171201,BK2-11_7,NA,NA,NA,PI,Blank,NA,BK2,Blank,28,0.61,NA,,,Light,453,Probe,,
20171201,BK2-11_8_20171201,BK2-11_8,NA,NA,NA,PI,Blank,NA,BK2,Blank,28,0.61,NA,,,Light,610,Probe,,
20171201,BK2-11_9_20171201,BK2-11_9,NA,NA,NA,PI,Blank,NA,BK2,Blank,28,0.61,NA,,,Light,747,Probe,,
20171201,BK2-11_10_20171201,BK2-11_10,NA,NA,NA,PI,Blank,NA,BK2,Blank,28,0.61,NA,,,Light,1017,Probe,,
20171201,OF3-2_1_20171201,OF3-2_1,NA,NA,NA,PI,OF,NA,OF3,Sample,28,0.60489,7.3,,,Light,0,Probe,,
20171201,OF3-2_2_20171201,OF3-2_2,NA,NA,NA,PI,OF,NA,OF3,Sample,28,0.60489,7.3,,,Light,30,Probe,,
20171201,OF3-2_3_20171201,OF3-2_3,NA,NA,NA,PI,OF,NA,OF3,Sample,28,0.60489,7.3,,,Light,62,Probe,,
20171201,OF3-2_4_20171201,OF3-2_4,NA,NA,NA,PI,OF,NA,OF3,Sample,28,0.60489,7.3,,,Light,103,Probe,,
20171201,OF3-2_5_20171201,OF3-2_5,NA,NA,NA,PI,OF,NA,OF3,Sample,28,0.60489,7.3,,,Light,163,Probe,,
20171201,OF3-2_6_20171201,OF3-2_6,NA,NA,NA,PI,OF,NA,OF3,Sample,28,0.60489,7.3,,,Light,288,Probe,,
20171201,OF3-2_7_20171201,OF3-2_7,NA,NA,NA,PI,OF,NA,OF3,Sample,28,0.60489,7.3,,,Light,453,Probe,,
20171201,OF3-2_8_20171201,OF3-2_8,NA,NA,NA,PI,OF,NA,OF3,Sample,28,0.60489,7.3,,,Light,610,Probe,,
20171201,OF3-2_9_20171201,OF3-2_9,NA,NA,NA,PI,OF,NA,OF3,Sample,28,0.60489,7.3,,,Light,747,Probe,,
20171201,OF3-2_10_20171201,OF3-2_10,NA,NA,NA,PI,OF,NA,OF3,Sample,28,0.60489,7.3,,,Light,1017,Probe,,
20171201,OF1-7_1_20171201,OF1-7_1,NA,NA,NA,PI,OF,NA,OF1,Sample,28,0.6028,7.2,,,Light,0,Probe,,
20171201,OF1-7_2_20171201,OF1-7_2,NA,NA,NA,PI,OF,NA,OF1,Sample,28,0.6028,7.2,,,Light,30,Probe,,
