Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Phase [¡],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
66007,1/10/2017 16:14,0,JB1_Spot (PSt7-10),30/9/17 12:27:08,default,151.274,_mol/L,25.445,¡C,1014,hPa,Humid,37,0,0,19.477,10966,332188.3,30.87,95,#N/A
66009,1/10/2017 16:14,0.015,JB1_Spot (PSt7-10),30/9/17 12:27:08,default,151.164,_mol/L,25.447,¡C,1014,hPa,Humid,37,0,0,19.483,10964,332120.35,30.87,95,#N/A
66012,1/10/2017 16:14,0.032,JB1_Spot (PSt7-10),30/9/17 12:27:08,default,151.228,_mol/L,25.454,¡C,1014,hPa,Humid,37,0,0,19.472,10965,332092.61,30.87,95,#N/A
66014,1/10/2017 16:14,0.048,JB1_Spot (PSt7-10),30/9/17 12:27:08,default,151.243,_mol/L,25.436,¡C,1014,hPa,Humid,37,0,0,19.487,10959,332065.44,30.87,95,#N/A
66017,1/10/2017 16:14,0.065,JB1_Spot (PSt7-10),30/9/17 12:27:08,default,151.269,_mol/L,25.441,¡C,1014,hPa,Humid,37,0,0,19.481,10958,332043.47,30.87,95,#N/A
66020,1/10/2017 16:14,0.082,JB1_Spot (PSt7-10),30/9/17 12:27:08,default,151.197,_mol/L,25.439,¡C,1014,hPa,Humid,37,0,0,19.488,10954,332022.09,30.87,95,#N/A
66023,1/10/2017 16:14,0.099,JB1_Spot (PSt7-10),30/9/17 12:27:08,default,150.864,_mol/L,25.47,¡C,1014,hPa,Humid,37,0,0,19.483,10955,332004.91,30.87,95,#N/A
66029,1/10/2017 16:14,0.115,JB1_Spot (PSt7-10),30/9/17 12:27:08,default,151.458,_mol/L,25.459,¡C,1014,hPa,Humid,37,0,0,19.45,10949,332007.64,30.87,95,#N/A
66033,1/10/2017 16:14,0.132,JB1_Spot (PSt7-10),30/9/17 12:27:08,default,151.364,_mol/L,25.453,¡C,1014,hPa,Humid,37,0,0,19.463,10953,332010.53,30.87,95,#N/A
66035,1/10/2017 16:14,0.148,JB1_Spot (PSt7-10),30/9/17 12:27:08,default,151.105,_mol/L,25.441,¡C,1014,hPa,Humid,37,0,0,19.493,10951,331985.73,30.87,95,#N/A
66039,1/10/2017 16:14,0.165,JB1_Spot (PSt7-10),30/9/17 12:27:08,default,150.528,_mol/L,25.466,¡C,1014,hPa,Humid,37,0,0,19.511,10942,331982.12,30.87,95,#N/A
66046,1/10/2017 16:14,0.182,JB1_Spot (PSt7-10),30/9/17 12:27:08,default,150.59,_mol/L,25.459,¡C,1014,hPa,Humid,37,0,0,19.513,10939,331989.12,30.87,95,#N/A
66048,1/10/2017 16:14,0.199,JB1_Spot (PSt7-10),30/9/17 12:27:08,default,150.608,_mol/L,25.462,¡C,1014,hPa,Humid,37,0,0,19.509,10944,331981.78,30.87,95,#N/A
66053,1/10/2017 16:14,0.215,JB1_Spot (PSt7-10),30/9/17 12:27:08,default,151.555,_mol/L,25.44,¡C,1014,hPa,Humid,37,0,0,19.461,10943,331980.19,30.87,95,#N/A
66055,1/10/2017 16:14,0.231,JB1_Spot (PSt7-10),30/9/17 12:27:08,default,151.142,_mol/L,25.453,¡C,1014,hPa,Humid,37,0,0,19.479,10937,331982.96,30.87,95,#N/A
